The configuration settings in the file kiarash_sandbox/confs/conf_train_cpc_model.py:

max_epochs = 1000
patience = 100
dropout = 0.1
batch_size = 32
learning_rate = 2e-4
num_frames_encoding = 100
future_predicted_timesteps = [1, 2, 3, 4]
train_model = 1
test_model = 1
rand_init = 0
load_model = 0
save_best_model = 1
print_conf_contents = 1
encoder_name = 'CPC_encoder'
autoregressive_model_name = 'CPC_autoregressive_model'
postnet_name = 'CPC_postnet'
rnn_models_used_in_ar_model = 0
dataset_name = 'CPCDataset'
loss_name = 'CPC_loss_no_classes' # 'CPC_loss_no_classes' | 'CPC_mse_loss'
loss_flag = 'nce' if loss_name == 'CPC_loss_no_classes' else 'mse'
loss_params = {'future_predicted_timesteps': future_predicted_timesteps}
optimization_algorithm = 'Adam'
optimization_algorithm_params = {'lr': learning_rate}
use_lr_scheduler = 0
lr_scheduler = 'ReduceLROnPlateau'
lr_scheduler_params = {'mode': 'min',
                       'factor': 0.5,
                       'patience': 30}
encoder_params = {'linear_1_input_dim': 128,
                  'linear_1_output_dim': 128,
                  'linear_2_input_dim': 128,
                  'linear_2_output_dim': 128,
                  'linear_3_input_dim': 128,
                  'linear_3_output_dim': 128,
                  'normalization_type': None,
                  'dropout': dropout}
ar_model_params = {'type': 'gru',
                   'encoding_dim': 128,
                   'output_dim': 128}
w_params = {'encoding_dim': 128,
            'ar_model_output_dim': 128,
            'future_predicted_timesteps': future_predicted_timesteps,
            'detach': False}
w_use_ldm_params = 0
encoder_best_model_name = f"kiarash_sandbox/models/CPC_Encoder_best_model_{ar_model_params['type']}_ldmfcst{w_use_ldm_params}.pt"
ar_best_model_name = f"kiarash_sandbox/models/CPC_AR_best_model_{ar_model_params['type']}_ldmfcst{w_use_ldm_params}.pt"
w_best_model_name = f"kiarash_sandbox/models/W_best_model_{ar_model_params['type']}_ldmfcst{w_use_ldm_params}.pt"
params_train = {'batch_size': batch_size,
                'shuffle': True,
                'drop_last': True,
                'num_workers': 0,
                'pin_memory': False}
params_test = {'batch_size': batch_size,
               'shuffle': False,
               'drop_last': True}
name_of_log_textfile = f"kiarash_sandbox/logs/trainlog_{ar_model_params['type']}_ldmfcst{w_use_ldm_params}.txt"

########################################################################################



Process on cuda

Number of parameters:
Encoder #params:    49536 (%23.1)
AR #params:         99072 (%46.3)
W #params:          65536 (%30.6)
Total #params:  214144

Starting training...
Epoch: 0001 | Mean training loss: 331.0924 | Mean validation loss: 326.4733 (lowest: 326.4733) | training acc: 26.1364% | validation acc : 11.7188% | Duration:  4.5635 seconds
Epoch: 0002 | Mean training loss: 310.4433 | Mean validation loss: 297.3175 (lowest: 297.3175) | training acc: 28.4091% | validation acc : 16.4062% | Duration:  4.4054 seconds
Epoch: 0003 | Mean training loss: 281.8252 | Mean validation loss: 258.9281 (lowest: 258.9281) | training acc: 30.5398% | validation acc : 20.3125% | Duration:  4.6445 seconds
Epoch: 0004 | Mean training loss: 252.0121 | Mean validation loss: 237.2031 (lowest: 237.2031) | training acc: 32.6705% | validation acc : 25.0000% | Duration:  4.5643 seconds
Epoch: 0005 | Mean training loss: 222.6299 | Mean validation loss: 203.4351 (lowest: 203.4351) | training acc: 39.3466% | validation acc : 27.3438% | Duration:  4.9383 seconds
Epoch: 0006 | Mean training loss: 192.3939 | Mean validation loss: 176.0590 (lowest: 176.0590) | training acc: 46.4489% | validation acc : 33.5938% | Duration:  4.4954 seconds
Epoch: 0007 | Mean training loss: 166.2300 | Mean validation loss: 149.3734 (lowest: 149.3734) | training acc: 53.4091% | validation acc : 39.0625% | Duration:  5.0193 seconds
Epoch: 0008 | Mean training loss: 137.8221 | Mean validation loss: 118.9918 (lowest: 118.9918) | training acc: 56.6761% | validation acc : 40.6250% | Duration:  4.6943 seconds
Epoch: 0009 | Mean training loss: 106.8978 | Mean validation loss: 85.4644 (lowest: 85.4644) | training acc: 61.3636% | validation acc : 48.4375% | Duration:  5.0705 seconds
Epoch: 0010 | Mean training loss: 79.9745 | Mean validation loss: 62.6355 (lowest: 62.6355) | training acc: 62.5000% | validation acc : 49.2188% | Duration:  4.4906 seconds
Epoch: 0011 | Mean training loss: 63.3319 | Mean validation loss: 49.3847 (lowest: 49.3847) | training acc: 68.0398% | validation acc : 52.3438% | Duration:  4.7084 seconds
Epoch: 0012 | Mean training loss: 52.7976 | Mean validation loss: 41.2438 (lowest: 41.2438) | training acc: 69.0341% | validation acc : 57.0312% | Duration:  4.4620 seconds
Epoch: 0013 | Mean training loss: 45.7142 | Mean validation loss: 35.1141 (lowest: 35.1141) | training acc: 70.4545% | validation acc : 58.5938% | Duration:  4.7757 seconds
Epoch: 0014 | Mean training loss: 40.9043 | Mean validation loss: 30.4926 (lowest: 30.4926) | training acc: 72.7273% | validation acc : 58.5938% | Duration:  4.3692 seconds
Epoch: 0015 | Mean training loss: 37.1162 | Mean validation loss: 27.5003 (lowest: 27.5003) | training acc: 72.8693% | validation acc : 56.2500% | Duration:  5.0372 seconds
Epoch: 0016 | Mean training loss: 33.9230 | Mean validation loss: 25.2816 (lowest: 25.2816) | training acc: 72.8693% | validation acc : 55.4688% | Duration:  4.5965 seconds
Epoch: 0017 | Mean training loss: 31.8897 | Mean validation loss: 23.7800 (lowest: 23.7800) | training acc: 74.0057% | validation acc : 56.2500% | Duration:  4.6499 seconds
Epoch: 0018 | Mean training loss: 30.2887 | Mean validation loss: 22.5428 (lowest: 22.5428) | training acc: 74.1477% | validation acc : 55.4688% | Duration:  4.4266 seconds
Epoch: 0019 | Mean training loss: 28.8270 | Mean validation loss: 21.5488 (lowest: 21.5488) | training acc: 74.2898% | validation acc : 54.6875% | Duration:  4.5250 seconds
Epoch: 0020 | Mean training loss: 28.0819 | Mean validation loss: 20.7360 (lowest: 20.7360) | training acc: 74.7159% | validation acc : 57.8125% | Duration:  4.6098 seconds
Epoch: 0021 | Mean training loss: 26.6177 | Mean validation loss: 20.0529 (lowest: 20.0529) | training acc: 74.4318% | validation acc : 57.8125% | Duration:  4.4575 seconds
Epoch: 0022 | Mean training loss: 26.0006 | Mean validation loss: 19.3428 (lowest: 19.3428) | training acc: 74.8580% | validation acc : 58.5938% | Duration:  4.8450 seconds
Epoch: 0023 | Mean training loss: 25.8170 | Mean validation loss: 18.7298 (lowest: 18.7298) | training acc: 75.1420% | validation acc : 55.4688% | Duration:  4.3518 seconds
Epoch: 0024 | Mean training loss: 24.8454 | Mean validation loss: 18.2339 (lowest: 18.2339) | training acc: 75.7102% | validation acc : 56.2500% | Duration:  5.3791 seconds
Epoch: 0025 | Mean training loss: 23.9907 | Mean validation loss: 17.7121 (lowest: 17.7121) | training acc: 75.7102% | validation acc : 57.8125% | Duration:  4.6270 seconds
Epoch: 0026 | Mean training loss: 23.6461 | Mean validation loss: 17.3547 (lowest: 17.3547) | training acc: 76.4205% | validation acc : 55.4688% | Duration:  5.0545 seconds
Epoch: 0027 | Mean training loss: 22.6532 | Mean validation loss: 17.0189 (lowest: 17.0189) | training acc: 76.4205% | validation acc : 53.9062% | Duration:  4.2809 seconds
Epoch: 0028 | Mean training loss: 21.9589 | Mean validation loss: 16.5666 (lowest: 16.5666) | training acc: 76.9886% | validation acc : 55.4688% | Duration:  5.2380 seconds
Epoch: 0029 | Mean training loss: 21.8067 | Mean validation loss: 16.1898 (lowest: 16.1898) | training acc: 77.1307% | validation acc : 54.6875% | Duration:  4.2537 seconds
Epoch: 0030 | Mean training loss: 21.1305 | Mean validation loss: 15.8284 (lowest: 15.8284) | training acc: 77.5568% | validation acc : 55.4688% | Duration:  5.2799 seconds
Epoch: 0031 | Mean training loss: 22.2101 | Mean validation loss: 15.4921 (lowest: 15.4921) | training acc: 77.8409% | validation acc : 54.6875% | Duration:  4.7228 seconds
Epoch: 0032 | Mean training loss: 20.4898 | Mean validation loss: 15.1613 (lowest: 15.1613) | training acc: 78.4091% | validation acc : 54.6875% | Duration:  4.7465 seconds
Epoch: 0033 | Mean training loss: 20.7038 | Mean validation loss: 14.8860 (lowest: 14.8860) | training acc: 78.5511% | validation acc : 55.4688% | Duration:  4.6979 seconds
Epoch: 0034 | Mean training loss: 20.6204 | Mean validation loss: 14.5288 (lowest: 14.5288) | training acc: 77.9830% | validation acc : 56.2500% | Duration:  4.9228 seconds
Epoch: 0035 | Mean training loss: 19.9063 | Mean validation loss: 14.3256 (lowest: 14.3256) | training acc: 77.2727% | validation acc : 60.9375% | Duration:  6.3839 seconds
Epoch: 0036 | Mean training loss: 20.1373 | Mean validation loss: 14.0524 (lowest: 14.0524) | training acc: 77.8409% | validation acc : 57.0312% | Duration:  6.2406 seconds
Epoch: 0037 | Mean training loss: 19.2467 | Mean validation loss: 13.8155 (lowest: 13.8155) | training acc: 78.6932% | validation acc : 57.0312% | Duration:  7.2571 seconds
Epoch: 0038 | Mean training loss: 18.6373 | Mean validation loss: 13.5782 (lowest: 13.5782) | training acc: 77.9830% | validation acc : 58.5938% | Duration:  5.9030 seconds
Epoch: 0039 | Mean training loss: 18.6642 | Mean validation loss: 13.4008 (lowest: 13.4008) | training acc: 78.1250% | validation acc : 57.0312% | Duration:  6.4979 seconds
Epoch: 0040 | Mean training loss: 18.8284 | Mean validation loss: 13.1525 (lowest: 13.1525) | training acc: 78.6932% | validation acc : 57.8125% | Duration:  7.0916 seconds
Epoch: 0041 | Mean training loss: 18.5035 | Mean validation loss: 12.9527 (lowest: 12.9527) | training acc: 77.1307% | validation acc : 59.3750% | Duration:  6.5690 seconds
Epoch: 0042 | Mean training loss: 18.3258 | Mean validation loss: 12.7725 (lowest: 12.7725) | training acc: 78.2670% | validation acc : 57.0312% | Duration:  8.5131 seconds
Epoch: 0043 | Mean training loss: 17.9701 | Mean validation loss: 12.8005 (lowest: 12.7725) | training acc: 77.6989% | validation acc : 58.5938% | Duration:  8.8668 seconds
Epoch: 0044 | Mean training loss: 17.5576 | Mean validation loss: 12.6140 (lowest: 12.6140) | training acc: 77.8409% | validation acc : 57.0312% | Duration:  9.3588 seconds
Epoch: 0045 | Mean training loss: 17.3660 | Mean validation loss: 12.3290 (lowest: 12.3290) | training acc: 78.5511% | validation acc : 56.2500% | Duration:  9.2123 seconds
Epoch: 0046 | Mean training loss: 17.6185 | Mean validation loss: 12.1701 (lowest: 12.1701) | training acc: 77.6989% | validation acc : 55.4688% | Duration: 10.1054 seconds
Epoch: 0047 | Mean training loss: 17.1364 | Mean validation loss: 12.0022 (lowest: 12.0022) | training acc: 77.5568% | validation acc : 59.3750% | Duration:  9.5868 seconds
Epoch: 0048 | Mean training loss: 16.6447 | Mean validation loss: 11.8487 (lowest: 11.8487) | training acc: 77.9830% | validation acc : 57.0312% | Duration:  9.8671 seconds
Epoch: 0049 | Mean training loss: 16.6676 | Mean validation loss: 11.8026 (lowest: 11.8026) | training acc: 77.9830% | validation acc : 53.9062% | Duration:  6.1835 seconds
Epoch: 0050 | Mean training loss: 16.4997 | Mean validation loss: 11.6075 (lowest: 11.6075) | training acc: 78.4091% | validation acc : 56.2500% | Duration:  6.8079 seconds
Epoch: 0051 | Mean training loss: 16.0634 | Mean validation loss: 11.5040 (lowest: 11.5040) | training acc: 77.6989% | validation acc : 56.2500% | Duration:  5.5679 seconds
Epoch: 0052 | Mean training loss: 16.2283 | Mean validation loss: 11.2897 (lowest: 11.2897) | training acc: 78.2670% | validation acc : 60.1562% | Duration:  4.6143 seconds
Epoch: 0053 | Mean training loss: 16.2022 | Mean validation loss: 11.2404 (lowest: 11.2404) | training acc: 77.5568% | validation acc : 55.4688% | Duration:  5.4409 seconds
