The configuration settings in the file kiarash_sandbox/confs/conf_train_ldmcpc_model.py:

max_epochs = 1000
patience = 100
dropout = 0.1
batch_size = 32
learning_rate = 2e-4
num_frames_encoding = 100
future_predicted_timesteps = [1, 2, 3, 4]
train_model = 1
test_model = 1
rand_init = 0
load_model = 0
save_best_model = 1
print_conf_contents = 1
encoder_name = 'CPC_encoder'
autoregressive_model_name = 'CPC_autoregressive_model'
postnet_name = 'CPC_postnet'
rnn_models_used_in_ar_model = 0
dataset_name = 'CPCDataset' #*
loss_name = 'CPC_loss_no_classes' # 'CPC_loss_no_classes' | 'CPC_mse_loss'
loss_flag = 'nce' if loss_name == 'CPC_loss_no_classes' else 'mse'
loss_params = {'future_predicted_timesteps': future_predicted_timesteps}
optimization_algorithm = 'Adam'
optimization_algorithm_params = {'lr': learning_rate}
use_lr_scheduler = 0
lr_scheduler = 'ReduceLROnPlateau'
lr_scheduler_params = {'mode': 'min',
                       'factor': 0.5,
                       'patience': 30}
encoder_params = {'linear_1_input_dim': 128,
                  'linear_1_output_dim': 128,
                  'linear_2_input_dim': 128,
                  'linear_2_output_dim': 128,
                  'linear_3_input_dim': 128,
                  'linear_3_output_dim': 128,
                  'normalization_type': None,
                  'dropout': dropout}
ar_model_params = {'type': 'ldm',
                   'encoding_dim': 128,
                   'output_dim': 128}
w_params = {'encoding_dim': 128,
            'ar_model_output_dim': 128,
            'future_predicted_timesteps': future_predicted_timesteps,
            'detach': False}
w_use_ldm_params = 1
encoder_best_model_name = f"kiarash_sandbox/models/CPC_Encoder_best_model_{ar_model_params['type']}_ldmfcst{w_use_ldm_params}.pt"
ar_best_model_name = f"kiarash_sandbox/models/CPC_AR_best_model_{ar_model_params['type']}_ldmfcst{w_use_ldm_params}.pt"
w_best_model_name = f"kiarash_sandbox/models/W_best_model_{ar_model_params['type']}_ldmfcst{w_use_ldm_params}.pt"
params_train = {'batch_size': batch_size,
                'shuffle': True,
                'drop_last': True,
                'num_workers': 0,
                'pin_memory': False}
params_test = {'batch_size': batch_size,
               'shuffle': False,
               'drop_last': True}
name_of_log_textfile = f"kiarash_sandbox/logs/trainlog_{ar_model_params['type']}_ldmfcst{w_use_ldm_params}.txt"

########################################################################################



Process on cuda

Number of parameters:
Encoder #params:    49536 (%30.1)
AR #params:         49536 (%30.1)
W #params:          65536 (%39.8)
Total #params:  164608

Starting training...
Epoch: 0001 | Mean training loss: 299.1500 | Mean validation loss: 269.4140 (lowest: 269.4140) | training acc: 15.6250% | validation acc : 13.2812% | Duration: 16.8481 seconds
Epoch: 0002 | Mean training loss: 242.1721 | Mean validation loss: 206.2720 (lowest: 206.2720) | training acc: 28.6932% | validation acc : 27.3438% | Duration: 15.6211 seconds
Epoch: 0003 | Mean training loss: 193.0944 | Mean validation loss: 162.6888 (lowest: 162.6888) | training acc: 35.5114% | validation acc : 35.9375% | Duration: 17.7541 seconds
Epoch: 0004 | Mean training loss: 160.3206 | Mean validation loss: 139.1586 (lowest: 139.1586) | training acc: 42.1875% | validation acc : 39.0625% | Duration: 17.6866 seconds
Epoch: 0005 | Mean training loss: 140.0179 | Mean validation loss: 118.8337 (lowest: 118.8337) | training acc: 45.5966% | validation acc : 43.7500% | Duration: 15.8174 seconds
Epoch: 0006 | Mean training loss: 122.1398 | Mean validation loss: 102.0695 (lowest: 102.0695) | training acc: 46.5909% | validation acc : 42.9688% | Duration: 17.2165 seconds
Epoch: 0007 | Mean training loss: 106.0622 | Mean validation loss: 87.1371 (lowest: 87.1371) | training acc: 51.7045% | validation acc : 48.4375% | Duration: 17.0172 seconds
Epoch: 0008 | Mean training loss: 92.7044 | Mean validation loss: 78.3387 (lowest: 78.3387) | training acc: 54.5455% | validation acc : 43.7500% | Duration: 15.1512 seconds
Epoch: 0009 | Mean training loss: 85.6756 | Mean validation loss: 73.5521 (lowest: 73.5521) | training acc: 55.8239% | validation acc : 43.7500% | Duration: 17.3342 seconds
Epoch: 0010 | Mean training loss: 80.9427 | Mean validation loss: 69.7722 (lowest: 69.7722) | training acc: 55.5398% | validation acc : 46.0938% | Duration: 18.4258 seconds
Epoch: 0011 | Mean training loss: 74.9418 | Mean validation loss: 65.2415 (lowest: 65.2415) | training acc: 54.4034% | validation acc : 45.3125% | Duration: 16.7233 seconds
Epoch: 0012 | Mean training loss: 71.0329 | Mean validation loss: 60.4884 (lowest: 60.4884) | training acc: 54.9716% | validation acc : 44.5312% | Duration: 17.3908 seconds
Epoch: 0013 | Mean training loss: 65.4652 | Mean validation loss: 55.8821 (lowest: 55.8821) | training acc: 54.6875% | validation acc : 45.3125% | Duration: 18.7122 seconds
Epoch: 0014 | Mean training loss: 60.7847 | Mean validation loss: 51.8495 (lowest: 51.8495) | training acc: 56.9602% | validation acc : 46.0938% | Duration: 17.0269 seconds
Epoch: 0015 | Mean training loss: 56.3332 | Mean validation loss: 48.4359 (lowest: 48.4359) | training acc: 59.0909% | validation acc : 49.2188% | Duration: 17.7455 seconds
